,titles
676,Darker than Black: Kuro no Keiyakusha
677,Darker than Black
678,Darker than BLACK -黒の契約者-
679,DTB
680,Teekyuu
681,Teekyu
682,てーきゅう
683,"Tekyuu, Te-kyu"
684,Aoi Bungaku Series
686,青い文学シリーズ
687,Blue Literature
688,Natsuyuki Rendezvous
689,Natsuyuki Rendezvous
690,夏雪ランデブー
691,A Summer Snow Rendezvous
692,Mobile Suit Zeta Gundam: A New Translation III - Love Is the Pulse of the Stars
693,Mobile Suit Zeta Gundam: A New Translation III - Love Is the Pulse of the Stars
694,機動戦士ZガンダムⅢ-星の鼓動は愛-
695,"Kidou Senshi Z Gundam III: Hoshi no Kodou wa Ai, Kido Senshi Z Gundam III - Hoshi no Kodo wa Ai"
696,Gekkou no Pierce: Yumemi to Gin no Bara no Kishidan
697,Moonlight Pierce
698,月光のピアス―ユメミと銀のバラ騎士団
699,"Gekko no Piasu, The Cursed Earring, The Earring of Moonlight"
700,Mai-Otome Special: Otome no Inori
702,舞-乙HiME
703,Mai-Otome Picture Drama
704,Bakuretsu Hunters OVA
705,Sorcerer Hunters
706,元祖　爆れつハンター
707,Ganso Bakuretsu Hunters
708,Ontama!
710,おんたま!
712,Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e (TV)
713,Classroom of the Elite
714,ようこそ実力至上主義の教室へ
715,Welcome to the Classroom of the Elite
716,Douluo Dalu
718,斗罗大陆
719,"Combat Continent, Soul Land"
720,Kore ga UFO da! Soratobu Enban
721,That is an UFO! The Flying Saucer
722,これがＵＦＯだ！ 空飛ぶ円盤
724,Arakawa Under the Bridge x Bridge
725,Arakawa Under the Bridge x Bridge
726,荒川アンダー ザブリッジ×ブリッジ
727,"Arakawa Under the Bridge*2, Arakawa Under the Bridge x2, Arakawa Under the Bridge 2nd season"
728,Kino no Tabi: Nanika wo Suru Tame ni - Life Goes On.
730,キノの旅 何かをするために -life goes on.-
731,"Kino no Tabi: the Beautiful World - Life Goes On, Kino&#039;s Journey Movie"
732,Kindaichi Shounen no Jikenbo: Kuromajutsu Satsujin Jiken-hen
